title,published_weekday,published_time_of_day,duration_seconds,views,likes,views_per_day,likes_per_day,tags_clean,is_outlier
Top 5 Most Popular Functions In Microsoft Excel,Tuesday,Morning,992,16254,452,42.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'excel', 'microsoft excel', 'functions in excel']",0
Infrastructure of Analyst Builder | Entire Tech Stack | Part 3,Tuesday,Morning,2740,5760,89,15.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
2 Hour Data Analyst Interview Masterclass | Interview Better Than The Competition,Tuesday,Morning,7480,106726,3338,263.0,9.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'livestream']",0
Challenges of Creating Analyst Builder | Challenges of a Startup | Part 2,Tuesday,Morning,2707,2540,65,7.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
How We Started Analyst Builder | How We Created It | Part 1,Tuesday,Morning,1367,6740,215,17.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
MySQL Exploratory Data Analysis | Full Project,Tuesday,Morning,1964,126119,2963,300.0,8.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
750k Subscriber Livestream! | Giveaways | Songs | Q/A,Thursday,Afternoon,4996,5189,229,13.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst', 'livestream']",0
Data Cleaning in MySQL | Full Project,Tuesday,Morning,3071,303096,6558,709.0,16.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
How to get Promoted as a Data Analyst | Alex The Analyst Show Episode 26,Tuesday,Morning,3374,9015,283,21.0,1.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Triggers and Events in MySQL | Advanced MySQL Series,Tuesday,Morning,882,111649,3588,253.0,9.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
How to give up on the job search fast,Wednesday,Morning,52,28361,2107,64.0,5.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Stored Procedures in MySQL | Advanced MySQL Series,Tuesday,Morning,757,116857,2240,261.0,5.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
Temp Tables in MySQL | Advanced MySQL Series,Tuesday,Morning,466,78999,1661,174.0,4.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
CTEs in MySQL | Advanced MySQL Series,Tuesday,Morning,631,134522,2221,291.0,5.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
7 Mistakes to Avoid During Your Data Analyst Job Search,Tuesday,Morning,714,19973,753,43.0,2.0,"['data analyst', 'data analyst job', 'data analyst career', 'data analytics', 'alex the analyst']",0
