video_id,title,published_at,views,likes,comments,tags,duration,duration_seconds,playlist_title
tYBOMw7Ob8E,Intermediate SQL Tutorial | Having Clause,2020-04-09T16:01:02Z,194942,4946,92,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Data analyst with no degree', 'SQL Having', 'SQL Having statement', 'SQL Having clause', 'Having SQL', 'Having tutorial', 'SQL having tutorial', 'Having tutorial sql', 'Having in SQL', 'How to use Having in SQL', 'How to use having clause in sql', 'Intermediate sql', 'Intermediate SQL tutorial']",PT3M31S,211,Intermediate SQL Tutorials
Twusw__OzA8,Intermediate SQL Tutorial | Case Statement | Use Cases,2020-04-02T15:16:37Z,319184,7605,439,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Data analyst with no degree', 'SQL case statement', 'case statement sql', 'case statement in sql', 'how to use a case statement in sql', 'how to use a case statement', 'case statement', 'case statement for sql', 'case statement tutorial', 'tutorial for case statement', 'intermediate sql', 'intermediate sql tutorial']",PT7M26S,446,Intermediate SQL Tutorials
lYKkro6rKm0,Intermediate SQL Tutorial | Unions | Union Operator,2020-03-26T16:51:37Z,277438,5274,115,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Data analyst with no degree', 'SQL Union', 'How to use a Union', 'How to use a Union in SQL', 'Union in SQL', 'Union SQL', 'intermediate sql', 'intermediate sql tutorial']",PT5M25S,325,Intermediate SQL Tutorials
9URM1_2S0ho,Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,2020-03-19T15:40:58Z,572859,9466,478,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Data analyst with no degree', 'sql tutorial', 'intermediate sql turorial', 'sql join', 'sql joins tutorial', 'sql join tutorial', 'how to do joins in sql', 'intermediate sql', 'SQL for data analyst', 'sql for data analysts', 'advanced sql', 'sql for programmers']",PT15M53S,953,Intermediate SQL Tutorials
qzZU6LAtIig,Day in the Life of a Data Analyst | Fortune 500 Edition,2020-03-11T13:44:54Z,126677,2584,261,"['Day in the life', 'A Day in the Life', 'Day in the life of a data analyst', 'A Day in the life of a data analyst', 'A day in the life of a Fortune 500 Data Analyst', 'What do data analysts do', 'Data analyst', 'Data analyst job', 'Data analyst career', 'Fortune 500 Data Analyst', 'What do data analysts do on a daily basis', 'data analyst job description', 'life of a data analyst', 'data analyst day in the life', 'data scientist day in the life', 'a day in the life of a data analyst']",PT4M20S,260,
LXwfzIRD-Ds,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,2020-03-03T15:06:36Z,342432,8347,235,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analytics', 'SQL Basics', 'Basics of SQL', 'SQL for Beginners', 'SQL Basics for Beginners', 'SQL for Data Analysts', 'sql tutorial', 'sql tutorial for beginnners', 'sql for data analysts', 'sql for data analyst', 'sql beginner tutorial', 'SQL Server management studio', 'SQL Server Management studio tutorial', 'SQL Group by', 'SQL Order by', 'SQL Group by tutorial', 'SQL order by tutorial']",PT8M9S,489,SQL Basics for Data Analysts
A9TOuDZTPDU,SQL Basics Tutorial For Beginners | Where Statement | 3/4,2020-03-02T16:01:01Z,360812,6217,156,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analytics', 'SQL Basics', 'Basics of SQL', 'SQL for Beginners', 'SQL Basics for Beginners', 'SQL for Data Analysts', 'sql tutorial', 'sql tutorial for beginnners', 'sql for data analysts', 'sql for data analyst', 'sql beginner tutorial', 'SQL Server management studio', 'SQL Server Management studio tutorial', 'SQL Where statement', 'SQL where statement tutorial', 'SQL where']",PT7M58S,478,SQL Basics for Data Analysts
PyYgERKq25I,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,2020-03-01T17:02:28Z,526667,7522,307,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analytics', 'SQL Basics', 'Basics of SQL', 'SQL for Beginners', 'SQL Basics for Beginners', 'SQL for Data Analysts', 'sql tutorial', 'sql tutorial for beginnners', 'sql for data analysts', 'sql for data analyst', 'sql beginner tutorial', 'SQL Server management studio', 'SQL Server Management studio tutorial', 'SQL select statement', 'SQL from statement', 'SQL select statement tutorial', 'SQL from statement tutorial']",PT6M14S,374,SQL Basics for Data Analysts
RSlqWnP-Dy8,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,2020-03-01T00:50:38Z,1479937,18755,2058,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analytics', 'SQL Basics', 'Basics of SQL', 'SQL for Beginners', 'SQL Basics for Beginners', 'SQL for Data Analysts', 'sql tutorial', 'sql tutorial for beginnners', 'sql for data analysts', 'sql for data analyst', 'sql beginner tutorial', 'SQL Server management studio', 'SQL Server Management studio tutorial', 'SQL Create table', 'SQL Create table tutorial', 'SQL Insert into', 'SQL insert into tutorial', 'Sql basics for Data Analysts']",PT9M37S,577,SQL Basics for Data Analysts
9o9loJpG-t4,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,2020-02-26T15:11:22Z,26082,852,162,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst Salary', 'Data Analyst Salary 2020', 'Data Analyst Fact Check', 'Data Analyst Fact Checking', 'The Career Force', 'Data Analyst The Career Force']",PT7M34S,454,
Lacbh0VoT3g,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,2020-02-24T16:34:51Z,27309,555,41,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Data analyst with no degree', 'Data Analyst Resume', 'Complete guide to Creating a Data Analyst Resume', 'Data Analyst Resume Tips', 'Data Analyst Resume Templates', 'Data Analyst Resume Examples', 'Data Analyst Resume Guide', 'Creating a Resume', 'Resume for Data Analyst', 'Resume for Data Analysts', 'Resume to become Data Analyst', 'Resume for Data Analytics', 'Resume']",PT17M50S,1070,Data Analyst Resume
oZKs2xMbXQE,Data Analyst Salary in 2020,2020-02-19T15:43:59Z,8312,159,26,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Data analyst with no degree', 'Data analyst salary', 'Data analyst salary with no experience', 'Data analyst salary 2020', 'Data analyst salary in 2020', 'Data analyst Salary with no degree', 'Salary for Data Analyst', 'Salary for Data Analyst in 2020', 'Data Analyst Salary America', 'Data Analyst Salary USA', 'Data Analyst salary in usa']",PT3M44S,224,
N8f7NtDpbxA,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,2020-02-14T18:03:34Z,15200,647,39,"['Data Analyst', 'How to become a data analyst', 'Data Analyst Jobs', 'Data Analyst Job', 'Working with a Recruiter', 'Working with a LinkedIn Recruiter', 'Using Recruiter to get Job', 'How to work with a recruiter', 'Data Analyst Recruiter', 'Data Analyst Skills', 'Linkedin Recruiter']",PT6M,360,
wcKzdRVsMOw,Switching Careers to Become a Data Analyst | How I Made the Switch,2020-02-11T15:03:18Z,50908,1826,252,"['Data Analyst', 'How to become a data analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Data Analyst with no experience', 'Switching Careers to Become a Data Analyst', 'Becoming a Data Analyst with No Experience', 'How I became a Data Analyst', 'Switch Careers to Data Analyst', 'Data Analyst from different Career', 'How to Become Data Analyst from Different Job', 'Entry Level Data Analyst', 'Junior Data Analyst Jobs', 'Career Change to Data Analyst']",PT4M11S,251,
