title,published_weekday,published_weekday,published_time_of_day,duration_seconds,views,likes,views_per_day,likes_per_day,tags_clean,is_outlier
Shiny for Python Components and Layouts | Customizing You Web App,Tuesday,Tuesday,Morning,1448,6031,170,18.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'shiny', 'shiny components', 'shiny layouts', 'shiny tutorials']",0
Shiny for Python Setup and Install | Deploying First Shiny App,Tuesday,Tuesday,Morning,864,13702,333,39.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'shiny', 'shiny for python', 'python shiny', 'shiny for python setup', 'shiny setup']",0
Is the Economy on the Brink of a Recession? | Let's Look at the Data!,Tuesday,Tuesday,Morning,1279,13744,812,38.0,3.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'economy', 'economic data', 'how is the economy doing', 'economy data', 'data about economy', 'will economy get better', 'will economy get worse']",0
5 Awesome Excel Functions You've Probably Never Heard Of,Tuesday,Tuesday,Morning,844,6413,237,17.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
How to Create Custom Functions in Excel | Lambda Functions,Tuesday,Tuesday,Morning,994,7387,239,20.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
Top 5 Most Popular Functions In Microsoft Excel,Tuesday,Tuesday,Morning,992,16254,452,42.0,2.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Excel', 'Microsoft Excel', 'Functions in excel']",0
Infrastructure of Analyst Builder | Entire Tech Stack | Part 3,Tuesday,Tuesday,Morning,2740,5760,89,15.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
2 Hour Data Analyst Interview Masterclass | Interview Better Than The Competition,Tuesday,Tuesday,Morning,7480,106726,3338,263.0,9.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",0
Challenges of Creating Analyst Builder | Challenges of a Startup | Part 2,Tuesday,Tuesday,Morning,2707,2540,65,7.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
How We Started Analyst Builder | How We Created It | Part 1,Tuesday,Tuesday,Morning,1367,6740,215,17.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
MySQL Exploratory Data Analysis | Full Project,Tuesday,Tuesday,Morning,1964,126119,2963,300.0,8.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",0
750k Subscriber Livestream! | Giveaways | Songs | Q/A,Thursday,Thursday,Afternoon,4996,5189,229,13.0,1.0,"['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",0
